,4,8,16,32,64
128,0.792,0.993,1.323,1.477,1.565
256,1.179,1.748,1.833,1.931,2.006
384,1.864,2.075,2.106,2.178,2.454
512,2.247,2.240,2.261,2.331,3.290
640,2.381,2.382,2.390,2.508,5.361
768,2.447,2.449,2.474,2.734,10.054
896,2.519,2.524,2.540,2.943,20.584
1024,2.576,2.564,2.587,3.240,20.937
1152,2.677,2.674,2.692,3.871,21.267
1280,2.708,2.715,2.720,4.569,22.165
1408,2.726,2.739,2.776,6.169,22.510
1536,2.741,2.754,2.793,7.254,20.660
1664,2.768,2.774,2.985,9.101,22.141
1792,2.786,2.780,3.016,10.700,23.071
1920,2.801,2.797,3.108,10.948,23.255
2048,2.808,2.811,3.103,10.764,23.305
2176,2.819,2.838,3.633,10.929,22.960
2304,2.828,2.831,3.598,10.940,22.884
2432,2.837,2.855,3.855,11.004,23.029
2560,2.850,2.846,4.356,11.030,23.235
2688,2.850,2.872,4.700,11.073,23.289
2816,2.857,2.879,5.019,11.084,23.462
2944,2.869,2.885,5.453,11.131,23.385
3072,2.869,2.925,5.523,12.525,23.366
3200,2.873,3.054,7.363,11.170,23.485
3328,2.879,2.897,6.522,11.181,23.255
3456,2.882,2.993,6.789,11.208,23.507
3584,2.887,2.991,7.234,11.255,24.262
3712,2.891,2.987,7.261,11.271,23.715
3840,2.896,3.062,7.261,11.284,23.767
3968,2.910,2.999,7.272,11.297,23.723
4096,2.903,3.086,7.281,11.306,23.574
4224,2.903,3.057,7.283,11.341,23.868
4352,2.907,3.336,7.312,11.408,23.878
4480,2.920,3.239,7.301,11.389,23.871
4608,2.920,3.409,7.304,11.385,23.769
4736,2.922,3.541,7.313,11.556,23.946
4864,2.916,3.464,7.460,12.773,15.733
4992,2.924,3.577,7.359,11.408,15.762
5120,2.922,3.753,7.326,11.409,24.611
5248,2.930,3.753,7.344,11.436,23.971
5376,2.932,3.970,7.350,11.431,23.921
5504,2.935,3.897,7.492,11.426,24.042
5632,2.936,4.092,7.346,11.478,22.104
5760,2.940,4.158,7.359,11.447,24.046
5888,2.936,4.978,7.350,11.474,24.078
6016,2.939,4.301,7.366,11.480,24.186
6144,2.964,4.494,7.367,11.672,16.098
6272,2.944,4.558,7.367,11.498,24.293
6400,2.946,4.650,7.374,12.869,24.043
6528,2.942,4.707,7.375,11.552,24.814
6656,2.948,4.773,7.637,11.676,24.164
6784,2.944,4.918,7.387,11.676,24.158
6912,2.989,4.866,7.546,11.533,24.142
7040,2.977,5.067,7.445,12.047,24.890
7168,3.017,5.100,7.536,11.519,24.188
7296,3.029,5.112,7.397,11.506,24.247
7424,2.993,5.128,7.404,13.010,24.287
7552,3.037,5.130,7.396,11.531,22.980
7680,3.056,5.134,7.555,11.532,24.296
7808,3.041,5.001,7.552,11.723,24.389
7936,3.411,5.109,7.405,13.194,24.292
8064,3.027,5.193,7.407,11.731,24.327
8192,3.046,5.175,7.406,11.731,23.489
