,Loop
1024,0.0012
2048,0.0001
3072,0.0896
4096,0.0382
5120,0.3604
6144,0.3689
7168,0.4357
8192,0.2475
9216,0.4438
10240,0.4388
11264,0.3873
12288,0.3382
13312,0.3887
14336,0.4434
15360,0.4127
16384,0.3675
17408,0.4571
18432,0.4284
19456,0.4285
20480,0.3987
21504,0.4405
22528,0.4389
23552,0.4437
24576,0.4339
25600,0.4445
26624,0.4498
27648,0.4494
28672,0.4299
29696,0.4617
30720,0.4557
31744,0.4594
32768,0.4397
33792,0.4628
34816,0.4647
35840,0.4604
36864,0.4668
37888,0.4598
38912,0.4653
39936,0.4647
40960,0.4573
41984,0.4657
43008,0.4723
44032,0.4693
45056,0.4670
46080,0.4716
47104,0.4709
48128,0.4645
49152,0.4568
50176,0.4704
51200,0.4781
52224,0.4747
53248,0.4703
54272,0.4788
55296,0.4846
56320,0.4831
57344,0.4666
58368,0.4783
59392,0.4867
60416,0.4820
61440,0.4681
62464,0.4834
63488,0.4885
64512,0.4850
65536,0.4692
66560,0.4752
67584,0.4701
68608,0.4698
69632,0.4751
70656,0.4715
71680,0.4740
72704,0.4717
73728,0.4828
74752,0.4745
75776,0.4765
76800,0.4781
77824,0.4779
78848,0.4818
79872,0.4760
80896,0.4775
81920,0.4790
82944,0.4776
83968,0.4820
84992,0.4822
86016,0.4788
87040,0.4772
88064,0.4794
89088,0.4799
90112,0.4824
91136,0.4818
92160,0.4902
93184,0.4830
94208,0.4828
95232,0.4832
96256,0.4832
97280,0.4807
98304,0.4853
99328,0.4817
100352,0.4894
101376,0.4832
102400,0.4819
103424,0.4809
104448,0.4839
105472,0.4833
106496,0.4872
107520,0.4874
108544,0.4849
109568,0.4864
110592,0.4846
111616,0.4853
112640,0.4927
113664,0.4849
114688,0.4895
115712,0.4884
116736,0.4869
117760,0.4874
118784,0.4848
119808,0.4883
120832,0.4871
121856,0.4873
122880,0.4880
123904,0.4901
124928,0.4891
125952,0.4909
126976,0.4877
128000,0.4872
129024,0.4971
130048,0.4969
